Start Date,End Date,Intensity Joy,Intensity Trust,Intensity Fear,Intensity Surprise,Intensity Sadness,Intensity Disgust,Intensity Anger,Intensity Anticipation,Valence Joy,Valence Trust,Valence Fear,Valence Surprise,Valence Sadness,Valence Disgust,Valence Anger,Valence Anticipation,Arousal Joy,Arousal Trust,Arousal Fear,Arousal Surprise,Arousal Sadness,Arousal Disgust,Arousal Anger,Arousal Anticipation,Dominance Joy,Dominance Trust,Dominance Fear,Dominance Surprise,Dominance Sadness,Dominance Disgust,Dominance Anger,Dominance Anticipation
21/04/2019,28/04/2019,0.47222222222222227,0.611111111111111,0.3055555555555555,0.08333333333333333,0.0,0.0,0.3055555555555555,0.25,6.306666666666666,6.14,1.88,1.175,0.0,0.0,1.88,2.513333333333333,4.4750000000000005,4.447500000000001,3.5750000000000006,0.9066666666666667,0.0,0.0,3.5750000000000006,1.8333333333333333,5.22,5.2058333333333335,2.635,0.9199999999999999,0.0,0.0,2.635,2.0433333333333334
29/04/2019,06/05/2019,1.0,0.5,0.375,0.625,0.0,0.0,0.125,0.875,7.71625,3.7699999999999996,3.7,5.4625,0.0,0.0,1.6875,7.47,6.26875,2.75,3.4225,4.7825,0.0,0.0,1.4175,6.1725,6.2275,3.065,2.9125,4.2925,0.0,0.0,1.2775,5.9775
07/05/2019,14/05/2019,0.5,0.75,0.0,0.0,0.25,0.0,0.0,0.25,4.2775,8.01,0.0,0.0,4.195,0.0,0.0,4.195,3.1425,6.199999999999999,0.0,0.0,3.065,0.0,0.0,3.065,3.2125000000000004,6.8100000000000005,0.0,0.0,2.87,0.0,0.0,2.87
15/05/2019,22/05/2019,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,2.25,0.0,4.176666666666667,2.25,0.7400000000000001,0.0,2.25,4.176666666666667,1.89,0.0,3.2566666666666664,1.89,1.8933333333333333,0.0,1.89,3.2566666666666664,1.7033333333333334,0.0,3.4933333333333336,1.7033333333333334,1.0066666666666666,0.0,1.7033333333333334,3.4933333333333336
23/05/2019,30/05/2019,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,2.35,7.446666666666666,0.0,2.35,0.0,0.0,0.0,2.35,1.8133333333333335,5.87,0.0,1.8133333333333335,0.0,0.0,0.0,1.8133333333333335,1.8399999999999999,6.699999999999999,0.0,1.8399999999999999,0.0,0.0,0.0,1.8399999999999999
31/05/2019,07/06/2019,0.4583333333333333,0.125,0.41666666666666663,0.0,0.0,0.0,0.16666666666666666,0.625,5.81875,2.0075,2.3125,0.0,0.0,0.0,0.8675,5.0825,4.31125,1.39,2.78,0.0,0.0,0.0,1.755,3.7475,4.775,1.685,2.225,0.0,0.0,0.0,0.8825,4.45125
08/06/2019,15/06/2019,0.4444444444444444,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,4.9816666666666665,7.341666666666666,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,0.7000000000000001,2.618333333333333,3.5366666666666666,5.509999999999999,2.3833333333333333,2.3833333333333333,2.3833333333333333,0.0,2.3833333333333333,1.9466666666666665,3.793333333333333,5.669999999999999,1.5133333333333334,1.5133333333333334,1.5133333333333334,0.0,1.5133333333333334,1.8633333333333333
16/06/2019,23/06/2019,0.625,0.5,0.375,0.125,0.125,0.0,0.375,0.375,7.845,5.665,2.34,1.7625,0.46,0.0,2.34,3.7699999999999996,5.74,4.13,5.1274999999999995,1.36,1.5525,0.0,5.1274999999999995,2.75,6.5325,4.755,3.4574999999999996,1.38,0.8225,0.0,3.4574999999999996,3.065
24/06/2019,01/07/2019,0.8333333333333334,0.5,0.0,0.5,0.0,0.0,0.0,1.0,7.566666666666666,5.026666666666666,0.0,4.94,0.0,0.0,0.0,7.156666666666666,5.79,3.6666666666666665,0.0,3.86,0.0,0.0,0.0,5.54,5.93,4.086666666666667,0.0,3.6799999999999997,0.0,0.0,0.0,5.781666666666666
02/07/2019,09/07/2019,0.75,0.8,0.0,0.3,0.0,0.0,0.0,0.65,6.207666666666666,7.559,0.0,2.9829999999999997,0.0,0.0,0.0,5.900666666666667,4.615666666666667,5.736,0.0,2.298,0.0,0.0,0.0,4.481333333333334,5.019,6.367999999999999,0.0,2.423,0.0,0.0,0.0,4.6353333333333335
10/07/2019,17/07/2019,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.5,3.875,7.6899999999999995,0.0,3.735,0.0,0.0,0.0,3.875,2.7474999999999996,5.882499999999999,0.0,2.715,0.0,0.0,0.0,2.7474999999999996,3.2875,7.2275,0.0,3.205,0.0,0.0,0.0,3.2875
18/07/2019,25/07/2019,0.375,0.625,0.125,0.375,0.125,0.0,0.125,0.375,3.525,5.4325,0.69,3.525,1.1775,0.0,0.69,3.525,2.72,4.2875000000000005,1.74,2.72,1.07,0.0,1.74,2.72,2.76,4.7299999999999995,0.805,2.76,1.21,0.0,0.805,2.76
26/07/2019,02/08/2019,0.5833333333333333,0.3333333333333333,0.16666666666666666,0.0,0.25,0.0,0.16666666666666666,0.3333333333333333,8.375,4.015,1.88,0.0,1.11,0.0,1.88,4.015,6.0,2.78,3.575,0.0,2.84,0.0,3.575,2.78,6.925000000000001,3.37,2.635,0.0,1.51,0.0,2.635,3.37
03/08/2019,10/08/2019,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,3.8099999999999996,3.4175,1.735,3.8099999999999996,0.0,0.0,4.835,3.8099999999999996,2.8925,2.48,3.51,2.8925,0.0,0.0,5.755,2.8925,2.9825,3.0775,1.765,2.9825,0.0,0.0,4.715,2.9825
11/08/2019,18/08/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2019,26/08/2019,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,7.516666666666666,7.516666666666666,0.0,4.84,0.0,0.0,0.0,7.516666666666666,5.476666666666667,5.476666666666667,0.0,3.6233333333333335,0.0,0.0,0.0,5.476666666666667,6.223333333333334,6.223333333333334,0.0,3.9766666666666666,0.0,0.0,0.0,6.223333333333334
27/08/2019,03/09/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/09/2019,11/09/2019,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,3.865,3.34,1.88,0.0,1.41,0.0,1.88,3.865,3.01,2.65,3.575,0.0,2.91,0.0,3.575,3.01,3.38,3.305,2.635,0.0,1.43,0.0,2.635,3.38
12/09/2019,19/09/2019,0.5,0.75,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.41666666666666663,3.6149999999999998,7.43,0.0,3.795,0.0,0.0,3.795,7.105,2.7616666666666667,5.8966666666666665,0.0,2.85,0.0,0.0,2.85,5.18,3.0716666666666668,7.011666666666667,0.0,3.125,0.0,0.0,3.125,6.135
20/09/2019,27/09/2019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,7.74,0.0,0.0,0.0,0.0,0.0,0.0,5.74,5.74,0.0,0.0,0.0,0.0,0.0,0.0,6.74,6.74,0.0,0.0,0.0,0.0,0.0,0.0
28/09/2019,05/10/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63
06/10/2019,13/10/2019,0.5,0.25,0.0,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,3.9425,3.525,0.0,3.525,1.395,1.395,1.395,3.525,2.97,2.72,0.0,2.72,2.98,2.98,2.98,2.72,3.1574999999999998,2.76,0.0,2.76,1.65,1.65,1.65,2.76
14/10/2019,21/10/2019,0.5625,0.8125,0.0,0.0625,0.0,0.0,0.0,0.1875,5.770833333333333,7.67,0.0,1.7625,0.0,0.0,0.0,1.9008333333333332,4.288333333333333,5.876666666666667,0.0,1.36,0.0,0.0,0.0,1.4183333333333332,4.955,7.0183333333333335,0.0,1.38,0.0,0.0,0.0,1.585
22/10/2019,29/10/2019,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,3.815,2.89,0.0,0.0,0.0,0.0,2.89,0.0,3.135,2.05,0.0,0.0,0.0,0.0,2.05,0.0,3.94,2.685,0.0,0.0,0.0,0.0,2.685
30/10/2019,06/11/2019,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3055555555555555,0.0,0.0,0.08333333333333333,0.5833333333333334,7.905555555555555,7.888888888888888,1.8233333333333335,4.84,0.0,0.0,1.1566666666666667,7.878888888888888,5.836111111111111,5.6933333333333325,4.5633333333333335,3.6233333333333335,0.0,0.0,2.34,5.607777777777777,6.346666666666667,6.577777777777778,2.5033333333333334,3.9766666666666666,0.0,0.0,1.1766666666666665,6.383333333333333
07/11/2019,14/11/2019,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.5,0.16666666666666666,0.16666666666666666,0.0,2.5733333333333337,5.116666666666667,2.566666666666667,0.0,3.3066666666666666,2.566666666666667,2.566666666666667,0.0,1.8433333333333335,3.9333333333333336,1.7733333333333334,0.0,3.6666666666666665,1.7733333333333334,1.7733333333333334,0.0,2.1633333333333336,4.79,2.08,0.0,3.0866666666666664,2.08,2.08,0.0
15/11/2019,22/11/2019,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.25,4.015,7.73,0.0,0.0,0.0,0.0,0.0,4.015,2.78,6.092499999999999,0.0,0.0,0.0,0.0,0.0,2.78,3.37,7.595000000000001,0.0,0.0,0.0,0.0,0.0,3.37
23/11/2019,30/11/2019,0.5833333333333333,0.41666666666666663,0.25,0.0,0.25,0.0,0.25,0.3333333333333333,7.8475,7.465,0.95,0.0,0.95,0.0,0.95,3.125,5.4925,4.895,2.925,0.0,2.925,0.0,2.925,2.1725,6.5275,6.13,1.665,0.0,1.665,0.0,1.665,2.5374999999999996
01/12/2019,08/12/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/12/2019,16/12/2019,0.49999999999999994,0.5555555555555555,0.0,0.18055555555555555,0.0,0.0,0.0,0.3611111111111111,6.129166666666666,5.0675,0.0,3.715,0.0,0.0,0.0,4.884166666666666,4.545833333333333,3.9375,0.0,2.8350000000000004,0.0,0.0,0.0,3.6633333333333336,5.1000000000000005,4.744166666666666,0.0,2.908333333333333,0.0,0.0,0.0,4.047916666666667
17/12/2019,24/12/2019,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.05,7.05,0.0,7.05,0.0,0.0,0.0,7.05,5.44,5.44,0.0,5.44,0.0,0.0,0.0,5.44,5.52,5.52,0.0,5.52,0.0,0.0,0.0,5.52
25/12/2019,01/01/2020,0.9166666666666666,0.7083333333333334,0.08333333333333333,0.625,0.125,0.0,0.08333333333333333,0.625,7.4799999999999995,7.2225,0.94,5.2875,2.0325,0.0,0.94,5.2875,5.5875,5.515000000000001,1.7875,4.08,1.33,0.0,1.7875,4.08,5.98,5.825,1.3175,4.14,1.5975,0.0,1.3175,4.14
02/01/2020,09/01/2020,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,4.015,4.015,1.61,0.0,0.0,0.0,0.0,4.015,2.78,2.78,3.585,0.0,0.0,0.0,0.0,2.78,3.37,3.37,2.245,0.0,0.0,0.0,0.0,3.37
10/01/2020,17/01/2020,0.8333333333333334,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,7.308333333333334,7.213333333333334,0.0,7.3133333333333335,0.0,0.0,0.0,7.218333333333334,5.548333333333333,5.406666666666667,0.0,5.853333333333334,0.0,0.0,0.0,5.711666666666667,5.513333333333333,5.3116666666666665,0.0,5.6433333333333335,0.0,0.0,0.0,5.441666666666666
