Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
maggot,269,0.107001321,1.47,0.5,2.96,0.31372549,2.09,2
moment,281,0.595772787,1.65,0.249134948,2.29,0.452762923,1.92,246
magical,858,0.820343461,1.64,0.615916955,2.36,0.616755793,2.19,12
money,282,0.837516513,1.4,0.57266436,2.66,0.709447415,2.33,265
mail,859,0.743725231,1.74,0.560553633,2.36,0.606060606,1.79,47
month,283,0.515191546,1.09,0.283737024,1.77,0.459893048,1.14,130
malaria,860,0.151915456,1.38,0.347750865,2.54,0.169340463,1.9,3
moody,883,0.257595773,1.58,0.309688581,2.38,0.377896613,1.71,5
malice,270,0.190224571,1.84,0.600346021,2.75,0.440285205,2.72,2
moral,884,0.653896962,1.85,0.363321799,2.28,0.647058824,2.2,142
man,537,0.723910172,1.7,0.493079585,2.31,0.581105169,2.23,1207
morbid,284,0.214002642,2.14,0.461937716,2.68,0.368983957,2.5,1
mangle,861,0.35006605,2.01,0.527681661,2.1,0.417112299,1.84,.
morgue,285,0.088507266,1.32,0.423875433,2.96,0.23885918,1.94,1
maniac,862,0.331571995,2,0.519031142,2.46,0.347593583,2.07,4
mosquito,885,0.204755614,1.91,0.41349481,2.72,0.399286988,2.15,1
manner,863,0.57992074,1.34,0.375432526,1.78,0.495543672,1.83,124
mother,286,0.94319683,1.15,0.647058824,2.71,0.618538324,2.37,216
mantel,864,0.486129458,1.4,0.152249135,2.23,0.47771836,1.61,3
mountain,287,0.705416116,1.66,0.53633218,2.43,0.568627451,2.36,33
manure,865,0.244385733,1.74,0.307958478,2.09,0.427807487,1.36,6
movie,288,0.741083223,1.81,0.439446367,2.54,0.486631016,1.79,29
market,866,0.582562748,1.02,0.299307958,1.83,0.534759358,1.4,155
mucus,886,0.276089828,2.29,0.176470588,2.17,0.450980392,1.83,2
massacre,867,0.136063408,1.74,0.508650519,2.63,0.219251337,2.26,1
muddy,887,0.421400264,2.07,0.301038062,2.13,0.438502674,1.77,10
masterful,271,0.771466314,1.78,0.48615917,2.85,0.875222816,2.56,2
muffin,888,0.702774108,2.04,0.410034602,2.42,0.577540107,1.63,.
masturbate,599,0.554821664,2.02,0.567474048,2.18,0.598930481,2.25,.
murderer,289,0.036988111,0.96,0.878892734,2.18,0.267379679,3.06,19
material,868,0.529722589,1.29,0.287197232,2.34,0.50802139,1.45,174
muscular,290,0.735799207,1.63,0.532871972,2.2,0.768270945,2.28,16
measles,272,0.19682959,1.97,0.461937716,2.44,0.331550802,2.16,2
museum,889,0.5667107,1.86,0.209342561,2.13,0.543672014,1.68,32
medicine,869,0.583883752,2.06,0.347750865,2.36,0.43315508,1.91,30
mushroom,567,0.598414795,2.22,0.403114187,2.33,0.579322638,2.1,2
meek,273,0.346103038,1.69,0.243944637,2.13,0.249554367,2.23,10
music,291,0.908850727,1.09,0.506920415,3.19,0.734402852,2.44,216
melody,870,0.768824306,1.79,0.448096886,2.52,0.568627451,1.78,21
mutation,890,0.351387054,2.44,0.423875433,2.52,0.320855615,2.1,.
mutilate,292,0.075297226,1.45,0.69550173,2.94,0.203208556,2.71,3
orchestra,299,0.63011889,1.89,0.19550173,2.29,0.516934046,2.14,60
mystic,891,0.627476882,2.21,0.423875433,2.57,0.579322638,1.93,3
orgasm,920,0.933949802,1.31,0.987889273,1.45,0.812834225,2.18,7
naked,892,0.672391017,2.42,0.589965398,2.8,0.664884135,2.05,32
outdoors,521,0.821664465,1.8,0.610726644,2.55,0.713012478,2.24,6
name,893,0.568031704,2.24,0.321799308,2.47,0.515151515,2.08,294
outrage,921,0.2998679,2.12,0.76816609,2.26,0.532976827,2.72,4
narcotic,894,0.401585205,2.3,0.439446367,2.57,0.386809269,2.43,2
outstanding,922,0.858652576,1.75,0.666089965,2.59,0.736185383,2.29,37
nasty,895,0.307793923,2.38,0.432525952,2.5,0.486631016,2.17,5
overcast,923,0.317040951,1.61,0.185121107,1.92,0.34402852,1.79,9
natural,896,0.705416116,1.57,0.294117647,2.37,0.588235294,1.69,156
overwhelmed,300,0.388375165,2.61,0.797577855,2.37,0.288770053,2.58,4
nature,293,0.845442536,1.37,0.342560554,2.51,0.47771836,2.72,191
owl,522,0.601056803,1.31,0.275086505,1.87,0.632798574,1.62,2
nectar,294,0.746367239,1.53,0.259515571,2.48,0.404634581,2.06,3
pain,301,0.116248349,1.81,0.711072664,2.49,0.256684492,2.53,88
needle,897,0.339498018,1.73,0.51384083,2.89,0.299465241,2.17,15
paint,924,0.577278732,1.72,0.295847751,2.36,0.620320856,1.71,37
neglect,898,0.182298547,1.64,0.422145329,2.31,0.281639929,2.29,12
palace,302,0.784676354,1.78,0.468858131,2.75,0.609625668,2.17,38
nervous,899,0.269484808,1.47,0.726643599,2.07,0.229946524,1.73,24
pamphlet,925,0.467635403,1.05,0.212802768,2.02,0.420677362,1.48,3
neurotic,900,0.422721268,2.23,0.474048443,2.76,0.381461676,2.05,10
pancakes,523,0.638044914,1.83,0.288927336,2.13,0.622103387,1.61,.
news,901,0.535006605,1.67,0.480968858,2.11,0.415329768,1.88,102
panic,601,0.247027741,1.84,0.801038062,2.02,0.165775401,1.67,22
nice,902,0.7001321,2.44,0.344290657,2.69,0.590017825,2.2,75
paper,303,0.521796565,1.21,0.019031142,1.85,0.392156863,1.67,157
nightmare,295,0.087186262,1.54,0.899653979,2.23,0.251336898,2.76,9
paradise,304,0.98678996,0.6,0.472318339,3.38,0.670231729,2.79,12
nipple,903,0.663143989,1.81,0.548442907,2.55,0.588235294,2,.
paralysis,926,0.096433289,1.44,0.404844291,2.83,0.051693405,1.82,6
noisy,904,0.498018494,2.02,0.690311419,1.78,0.474153298,1.76,6
part,927,0.50990753,1.78,0.247404844,2.24,0.442067736,1.59,500
nonchalant,296,0.461030383,1.11,0.126297578,1.93,0.363636364,1.54,1
party,305,0.87318362,1.83,0.743944637,2.84,0.634581105,2.46,216
nonsense,905,0.443857332,1.63,0.307958478,2.02,0.468805704,1.55,13
passage,928,0.532364597,1.44,0.34083045,2.13,0.490196078,1.62,49
noose,906,0.331571995,1.64,0.346020761,2.08,0.338680927,1.92,3
passion,306,0.895640687,1.27,0.842560554,2.57,0.688057041,2.24,28
nourish,907,0.688243065,1.69,0.328719723,2.51,0.629233512,1.62,.
pasta,524,0.718626156,1.64,0.441176471,2.04,0.629233512,1.47,.
nude,520,0.735799207,1.63,0.69550173,2.09,0.657754011,2.29,20
patent,307,0.533685601,1.08,0.192041522,1.84,0.468805704,1.79,35
nuisance,908,0.266842801,1.86,0.363321799,2.69,0.37254902,1.73,5
patient,929,0.533685601,1.89,0.314878893,2.37,0.468805704,2.31,86
nun,909,0.486129458,1.89,0.093425606,1.8,0.474153298,1.69,2
patriot,930,0.721268164,1.69,0.480968858,2.53,0.647058824,1.54,10
nurse,538,0.638044914,2.08,0.423875433,2.04,0.458110517,2.2,17
peace,308,0.854689564,1.75,0.096885813,2.55,0.56684492,2.84,198
nursery,910,0.591809775,2.3,0.285467128,2.74,0.518716578,2.23,13
penalty,931,0.208718626,1.56,0.468858131,2.31,0.299465241,1.97,14
obesity,911,0.195508587,1.85,0.256055363,2.82,0.262032086,2.45,5
pencil,309,0.524438573,0.68,0.129757785,1.9,0.44741533,1.73,34
obey,912,0.431968296,1.88,0.3183391,1.72,0.354723708,2.4,8
penis,932,0.614266843,1.72,0.544982699,2.63,0.650623886,2.54,.
obnoxious,913,0.297225892,2.18,0.406574394,2.42,0.556149733,2.2,5
penthouse,933,0.734478203,1.64,0.541522491,2.49,0.757575758,1.82,1
obscene,914,0.393659181,2.3,0.458477509,2.3,0.393939394,1.91,2
people,525,0.80317041,1.7,0.614186851,2.09,0.689839572,2.02,847
obsession,915,0.431968296,2.13,0.69550173,2.13,0.445632799,2.38,5
perfection,310,0.792602378,2.05,0.615916955,2.73,0.79144385,2.26,11
ocean,297,0.775429326,1.72,0.442906574,2.79,0.581105169,2.75,34
perfume,934,0.727873184,1.48,0.460207612,2.36,0.652406417,1.69,10
odd,916,0.471598415,2.04,0.325259516,2.46,0.445632799,1.89,44
person,311,0.669749009,1.74,0.311418685,2.45,0.549019608,2.02,175
offend,917,0.199471598,1.5,0.548442907,2.06,0.260249554,2.03,4
pervert,312,0.20343461,2.12,0.669550173,2.61,0.436720143,2.83,1
office,568,0.527080581,1.59,0.292387543,1.92,0.591800357,1.89,255
pest,313,0.248348745,1.82,0.558823529,2.15,0.538324421,2.13,4
opinion,298,0.664464993,1.45,0.432525952,2.46,0.581105169,1.93,96
pet,935,0.731836196,2.32,0.468858131,2.59,0.638146168,2.28,8
optimism,918,0.752972259,2.24,0.510380623,2.58,0.773618538,2.06,15
phase,936,0.517833554,0.79,0.275086505,1.82,0.424242424,1.72,72
option,919,0.692206077,1.31,0.406574394,2.23,0.725490196,1.8,5
pie,314,0.681638045,1.89,0.313148789,2.4,0.549019608,1.78,14
pig,937,0.504623514,1.97,0.313148789,2.42,0.547237077,1.88,8
quality,950,0.660501982,1.59,0.361591696,2.12,0.600713012,1.59,114
pillow,315,0.881109643,1.4,0.100346021,2.52,0.408199643,2.17,8
quarrel,338,0.221928666,2.06,0.674740484,2.56,0.311942959,2.16,20
pinch,938,0.340819022,1.7,0.380622837,2.1,0.443850267,1.73,6
quart,951,0.546895641,2.01,0.207612457,2.51,0.52228164,1.86,3
pistol,939,0.389696169,2.58,0.650519031,2.19,0.495543672,2.77,27
queen,952,0.685601057,1.43,0.410034602,2.18,0.573975045,2.12,41
pity,940,0.28005284,1.57,0.230103806,2.02,0.329768271,1.82,14
quick,953,0.712021136,1.61,0.723183391,1.78,0.766488414,1.91,68
pizza,526,0.71334214,2.23,0.493079585,2.09,0.609625668,1.9,3
quiet,339,0.571994716,1.83,0.074394464,2.13,0.383244207,2.3,76
plain,941,0.414795244,1.46,0.19550173,2.05,0.434937611,1.68,48
rabbit,527,0.702774108,1.92,0.28200692,2.19,0.679144385,1.72,11
plane,539,0.684280053,1.98,0.648788927,2.39,0.44741533,2.19,114
rabies,340,0.068692206,0.97,0.641868512,2.62,0.281639929,2.34,1
plant,316,0.624834875,1.83,0.212802768,2.25,0.434937611,2.12,125
radiant,954,0.723910172,2.17,0.519031142,2.82,0.595365419,2.17,8
pleasure,317,0.928665786,0.92,0.579584775,2.81,0.691622103,2.31,62
radiator,955,0.451783355,1.05,0.28200692,1.94,0.452762923,1.38,4
poetry,318,0.608982827,1.91,0.278546713,2.85,0.541889483,1.81,88
radio,341,0.723910172,1.47,0.41349481,2.82,0.536541889,1.85,120
poison,319,0.096433289,1.44,0.633217993,2.82,0.147950089,2.44,10
rage,342,0.15323646,1.86,1,1.4,0.607843137,3.01,16
politeness,320,0.78335535,1.5,0.233564014,2.37,0.618538324,1.7,5
rain,569,0.505944518,2.51,0.21799308,2.35,0.44741533,1.68,70
pollute,321,0.079260238,1.11,0.638408304,2.42,0.472370766,2.51,1
rainbow,343,0.910171731,1.23,0.389273356,2.88,0.436720143,2.37,4
poster,942,0.540290621,1.75,0.266435986,2.56,0.470588235,1.87,4
rancid,956,0.408190225,2.28,0.458477509,2.27,0.413547237,1.86,.
poverty,322,0.055482166,0.9,0.429065744,2.66,0.167557932,2.21,20
rape,344,0,0.91,0.764705882,3.17,0.124777184,2.94,5
power,323,0.698811096,2.21,0.740484429,1.87,0.893048128,2.35,342
rat,345,0.233817701,1.66,0.442906574,2.36,0.406417112,2.14,6
powerful,324,0.738441215,1.8,0.595155709,2.69,0.877005348,2.52,63
rattle,346,0.499339498,1.23,0.34083045,2.18,0.338680927,1.56,5
prairie,325,0.594451783,1.43,0.176470588,2.17,0.418894831,2.13,21
razor,957,0.470277411,2.16,0.51384083,2.44,0.470588235,1.95,15
present,943,0.752972259,1.85,0.472318339,2.39,0.634581105,1.78,377
red,570,0.681638045,1.61,0.501730104,2.04,0.625668449,1.59,197
pressure,944,0.281373844,1.61,0.636678201,2.26,0.210338681,2.07,185
refreshment,347,0.817701453,1.29,0.356401384,2.7,0.486631016,1.92,2
prestige,945,0.793923382,1.9,0.600346021,2.08,0.825311943,1.96,29
regretful,348,0.136063408,1.42,0.579584775,2.32,0.206773619,2.52,1
pretty,326,0.858652576,1.26,0.629757785,2.22,0.575757576,1.97,107
rejected,349,0.033025099,1.09,0.688581315,2.56,0.080213904,2.58,33
prick,946,0.360634082,1.73,0.399653979,2.59,0.392156863,1.88,2
relaxed,350,0.759577279,1.77,0,2.13,0.584670232,1.9,14
pride,327,0.759577279,2.11,0.595155709,2.48,0.853832442,2.15,42
repentant,351,0.565389696,1.86,0.397923875,1.98,0.561497326,2.06,1
priest,328,0.682959049,2,0.349480969,2.71,0.465240642,2.07,16
reptile,958,0.464993395,2,0.482698962,2.19,0.445632799,2.02,.
prison,329,0.105680317,1.34,0.57266436,2.56,0.34402852,2.58,42
rescue,352,0.852047556,1.24,0.716262976,2.56,0.745098039,2.29,15
privacy,330,0.611624835,1.5,0.299307958,1.83,0.604278075,1.78,12
resent,959,0.331571995,1.9,0.359861592,2.12,0.390374332,2.09,8
