Start Date,End Date,Trigger Words,Tweet Count,Tweet0,Tweet0 Timestamp,Tweet1,Tweet1 Timestamp,Tweet2,Tweet2 Timestamp,Tweet3,Tweet3 Timestamp,Tweet4,Tweet4 Timestamp,Tweet5,Tweet5 Timestamp,Tweet6,Tweet6 Timestamp,Tweet7,Tweet7 Timestamp,Tweet8,Tweet8 Timestamp,Tweet9,Tweet9 Timestamp,Tweet10,Tweet10 Timestamp
20/06/2019,05/07/2019,"['proud', 'love', 'fun', 'evil']",4,"""@demetriannaaa She really has stepped into this with gusto, this evil thing. Fun to play right @Angelarobschild ?""",2019-07-03 01:18:00,"""@ccurlyn Agree.. if u have to ask “would you love me if I was broke”.. she knows the answer! #HaveandHaveNots #HaHn""",2019-07-03 01:15:00,"""@MsReneeLawless @OWNTV Would you love me if I was broke... me don’t think so!""",2019-07-03 01:13:00,"""Did y’all see that soccer game today? So proud of the USA Women’s National Soccer team! 🇺🇸🇺🇸🇺🇸 @USWNT https://t.co/h94JKAdtgU""",2019-06-29 01:32:00,,,,,,,,,,,,,,
06/07/2019,13/07/2019,"['hope', 'proud']",2,"""Hi there Jack, Access to the road was given to county officials immediately. This was many hours ago. Hoping for the safety of all. 🙏🏾 https://t.co/BxsPNUkkJC""",2019-07-12 04:56:00,"""# USWomensSoccerTeam So proud gonna wear my shirt all day and sleep in it tonight!🇺🇸🇺🇸🇺🇸🇺🇸""",2019-07-07 23:11:00,,,,,,,,,,,,,,,,,,
14/07/2019,29/07/2019,"['time', 'proud']",1,"""Isn’t this a beautiful sight? Since @QueenSugarOWN premiered in 2016, we’ve hired 35 female directors! And for 32 of those directors, it was their FIRST time directing a TV show. So proud of the work we’re doing over at @OWNTV. Thank you @ava for leading the charge! https://t.co/4xjMqMm0Tk""",2019-07-24 14:50:00,,,,,,,,,,,,,,,,,,,,
30/07/2019,06/08/2019,['watch'],1,"""@TheChicTiff I get to read the scripts and watch ahead. But I chose this season not to.I think @ava and team have found the best groove. I like watching with y’ all. #GimmeSugar #QueenSugar""",2019-08-01 01:33:00,,,,,,,,,,,,,,,,,,,,
07/08/2019,14/08/2019,"['time', 'love', 'truth', 'god', 'good', 'watch', 'child', 'hug']",9,"""Thanks for watching tonight. This powerful story comes from the creative and inspired mind of @octarell #DavidMakesMan https://t.co/pvNaDhZeUu""",2019-08-15 03:37:00,"""Love this moment when he wishes he could just hug his mom. But can’t! #DavidMakesMan https://t.co/QHz0jRWG0L""",2019-08-15 02:56:00,"""@MrErnestOwens @AkiliMcDowel @davidmakesman Ernest good to see you in the Twitterverse. #DavidMakeMan""",2019-08-15 02:15:00,"""Agree with you @DeadlineDominic... “On a busy, busy week, #DavidMakesMan is NOT to be missed and clearly the show you have to watch this week.” Getting ready for the tweetfest at 10|9c https://t.co/sQIMfV8b4v""",2019-08-15 00:12:00,"""How many stories did you grow up watching that were centered around a black boy’s experience? There are so few. That’s why when @octarell  pitched @davidmakesman to me, I had to listen—and it was the best pitch I ever heard. Watch tomorrow 8/14 at 10|9c on @OWNTV #DavidMakesMan https://t.co/y7gGao6I58""",2019-08-13 23:21:00,"""""When a child walks into the room, does your face light up?"" In memory of legendary author Toni Morrison, we are airing “The Oprah Winfrey Show: Toni Morrison” episode from 2000 on Saturday, at 8|7c &amp; Facebook Livestreaming it Sunday, 11a ET | 8a PT. https://t.co/6aMdRIp80L""",2019-08-09 20:00:00,"""Looking for a good movie this weekend? Check this one out: @brianbanksmovie Worth your time. Happy to know you hung in there and fought for your truth #BrianBanksMovie https://t.co/8JGTkaFia9""",2019-08-09 15:31:00,"""Loving Vy’s prayer.. is what Maya always taught me.. when the crisis comes say “Thank YOU, I know you got me”!#QueenSguar""",2019-08-08 04:35:00,"""For our September friendship issue, @Oprah reflected on more than 40 years knowing @GayleKing: ""I believe God put the two of us in each other’s paths to do exactly what we’ve been doing since that night in Baltimore when I was 22 and she was 21."" https://t.co/F1VbpHRHH0""",2019-08-07 18:24:00,,,,
15/08/2019,22/08/2019,"['watch', 'truth', 'joy', 'art', 'heal', 'rage', 'child']",7,"""@SparksAnthony What an incredible way to offer your talent. This season speaks to your Service thru  Art.
So grateful to you, @ava and the entire #QueenSugar team. Bravo Bravo!👏🏽👏🏽""",2019-08-22 04:30:00,"""@iamaniesia This is what I look like right now I am  my own crying Gif watching. #QueenSugar""",2019-08-22 02:02:00,"""@OOOhTwit Or how about getting whipped as a child and then told “you better stop that cryin’ and put that lip in”! #QueenSugarTalks""",2019-08-22 00:51:00,"""@avaduvernayfans You are so right. Straight up child abuse, is happening daily at the border. And no matter what happens next, those children are changed forever because of it. #QueenSugarTALKS""",2019-08-21 23:29:00,"""The most powerful lesson I ever heard on Trauma came from @IyanlaVanzant ” Until you heal the wounds of your past, you will continue to bleed.”That’s what we’re witnessing even when we don’t recognize it. Folks bleeding out thru, drugs, alcohol, rage, et all! #QueenSugarTalks""",2019-08-21 23:01:00,"""This was one of my favorite moments because it speaks volumes of truth about all trauma. #QueenSugarTALKS https://t.co/ttNkDxtEHk""",2019-08-21 22:39:00,"""Couldn’t wait to wake up and get started on the   #1619Project. @nhannahjones and @NYTmag  colleagues. I stand in tearful, joyful, thankful applause for this profound offering to our Culture and our Nation.  Take your bows y’all.""",2019-08-18 22:47:00,,,,,,,,
23/08/2019,07/09/2019,"['hope', 'triumph']",1,"""Have plans for 2020? How about joining me on the road for #Oprahs2020VisionTour! My hope is for this wellness event to help make 2020 your year of transformation &amp; triumph. Head to https://t.co/k564BiAQfV for more info on tickets &amp; join the party! 💃🏾💃🏾💃🏾 #OWandWW https://t.co/0cS66KRe0w""",2019-09-04 12:53:00,,,,,,,,,,,,,,,,,,,,
08/09/2019,15/09/2019,"['time', 'love', 'thought', 'triumph']",3,"""It’ll also be available on Facebook tomorrow 9/15 and through our @SuperSoulSunday podcast on Wednesday 9/18. Really worth your time.""",2019-09-14 15:21:00,"""Malcolm @Gladwell’s new book Talking to Strangers will have you saying hmmm interesting 🤔 in every chapter. He once again brings a new perspective to subjects we’ve all thought about. I invited him over for a @SuperSoulSunday convo which airs tomorrow 9/15 at 11a on @OWNTV! https://t.co/84nHDkKhPo""",2019-09-14 15:19:00,"""Tickets for #Oprahs2020VisionTour are officially on sale TODAY! Bring along your Gayle, your siblings, your parents, your colleagues, and your loved ones so we can all collectively make 2020 the year of transformation and triumph. Click here for tickets: https://t.co/OlTn1jBbDM https://t.co/6s6UyOsRKv""",2019-09-13 14:07:00,,,,,,,,,,,,,,,,
16/09/2019,23/09/2019,"['love', 'joy', 'thrill', 'good']",5,"""Thanks for making The Water Dancer by Ta-Nehisi Coates ALREADY #1! I applaud your good taste. I’ll be checking your comments at @oprahsbookclub for when you finish the first part. You’ll want to talk to me. 📚 #ReadwithUs https://t.co/cTqtqKiFWs""",2019-09-24 13:13:00,"""A good book can open your mind and take you on a journey you never expected. Excited to partner with @Oprah’s Book Club to celebrate the world’s most amazing authors — and the joy of reading! Starting with The Water Dancer by the incredible Ta-Nehisi Coates. https://t.co/DOpVY1svOY""",2019-09-23 19:59:00,"""I’m reading this powerful book. How many of you will join me? I love a good read. 
@oprahsbookclub #ReadWithUs https://t.co/yw0oLjYDbV""",2019-09-23 14:45:00,"""The only thing more thrilling than being captivated by a book is being able to share it with others. Which is why I’m excited to bring @oprahsbookclub to @apple starting TODAY! My first pick, The Water Dancer by the brilliant Ta-Nehisi Coates. It will enthrall you. #ReadwithUs https://t.co/DG99kTKrWu""",2019-09-23 12:50:00,"""Loving this conversation. #BlackWomenOWN""",2019-09-18 03:37:00,,,,,,,,,,,,
24/09/2019,01/10/2019,"['time', 'watch', 'assault']",4,"""Watch our @SuperSoulSunday conversation this Sunday 9/29 at 11|10c on @OWNTV and Facebook. Or listen to the podcast “SuperSoul Conversations” this Wednesday 10/2.""",2019-09-28 21:53:00,"""This was right after my insightful interview with Chanel Miller. The world knew her as Emily Doe who was sexually assaulted on the Stanford University campus. In her memoir, “Know My Name,” she shares the aftermath of the assault and trial that followed. https://t.co/foC1F1V227""",2019-09-28 21:52:00,"""Watch my conversation with Walt Disney CEO Bob Iger on @SuperSoulSunday this Sunday 9/29 at 12|11c on @OWNTV and Facebook. Or listen to the podcast “SuperSoul Conversations” this Wednesday 10/2.""",2019-09-28 14:17:00,"""In the time it takes you to fry an egg, put on your gym shoes, or watch this clip you can instantly download a copy of my @oprahsbookclub pick on your phone or iPad. It’s that easy! Get The Water Dancer here: https://t.co/FPv4e94BPg Can’t wait to talk to you about it. https://t.co/YZeeTdTaUp""",2019-09-24 22:53:00,,,,,,,,,,,,,,
02/10/2019,09/10/2019,"['watch', 'love', 'hope', 'joy', 'heal', 'gun', 'mystic', 'honor']",6,"""Thank you @people for my story &amp; the story of other women we know (&amp; should know) who are making an impact around the world. Women like @Nelba_MG (supporting survivors of gun trauma), @TherealTaraji (ending the stigma of mental illness), &amp; many more. #WomenChangingTheWorld https://t.co/H8kv8oJgwh""",2019-10-09 15:21:00,"""Spent a day marinating in black excellence with these gorgeous, promising, young men at @Morehouse. They honored me with roses, a song, and a portrait for a scholarship fund I set up 30 years ago. Can’t wait to see what they do with their future. https://t.co/o28hWkdC7w""",2019-10-08 13:38:00,"""And thank you for the naming of the soundstages. I love mine. @tylerperry https://t.co/RqYaVqNsmk""",2019-10-07 19:00:00,""". @tylerperry you built a studio, and you’ve also created a dream of hope and possibility for everyone to know that no matter who you are or where you come from, you can always do better when you’re aligned with the Divine. #GloryToGlory #ImagineThis https://t.co/6lb3NKN3Ly""",2019-10-07 18:59:00,"""Joy Harjo, America’s first Native American Poet laureate, is a mystic with simple yet profound ideas on how we can heal as a nation. Watch our @SuperSoulSunday this Sunday 10/6 at 11|10c on @OWNTV &amp; Facebook. Or listen to the podcast “SuperSoul Conversations” this Wednesday 10/9. https://t.co/eSIWAAPNUu""",2019-10-05 15:33:00,"""Thanks for helping clear the path for me and so many others. I was honored to salute you as a Legend then, now and Forever. #RIPDiahannCarroll https://t.co/UhEPBmsO0Z""",2019-10-04 19:10:00,,,,,,,,,,
10/10/2019,17/10/2019,"['watch', 'hit', 'crash', 'sun']",4,"""Thanks to you all for watching this remarkable, series.. created by @octarell. 👏🏽👏🏽👏🏽👏🏽""",2019-10-17 02:08:00,"""@octarell The weariness behind the words.. that’s what hit us.#DavidMakesMan""",2019-10-17 01:51:00,"""@xoIAmG I knnowwww!  Crash the car and act like no big deal. I tried that with my Dad once. Didn’t work.#DavidMakedMan""",2019-10-17 01:07:00,"""This is something we can all do. Wanna join me ? Since reading The OMD Plan by @suzymusing, I’ve taken up her challenge to eat at least 1 plant-based meal a day. Watch our @SuperSoulSunday this Sun 10/13 at 11|10c on  @OWNTV &amp; Facebook. https://t.co/99aUfAgsRn""",2019-10-12 21:22:00,,,,,,,,,,,,,,
18/10/2019,25/10/2019,"['love', 'proud', 'letter', 'dark']",3,""".@Lupita_Nyongo is black girl magic personified &amp; now she’s spreading that magic to kids everywhere with her new book “Sulwe.” She came to my house to talk about this love letter to herself &amp; her fateful Oscars night. Our convo airs this Sat 10/26 at 8PM on @owntv #OWNSpotlight https://t.co/a8OCJdsxDL""",2019-10-26 00:50:00,"""I invited @CynthiaEriVo over to my house for a chat and she came dressed &amp; ready to talk about the #HARRIET Tubman film and the controversy. Our interview airs this Sat 10/26 at 8PM on @owntv. She also makes @BarbraStreisand proud 💅🏾 #OWNSpotlight https://t.co/XhZ0Irxm8H""",2019-10-25 23:31:00,"""#AskLupita I so enjoyed our convo that’s airing this Saturday 10/26 on @OWNTV. But I forgot to ask you…What do you know for sure about being a dark skinned girl? 👍🏾""",2019-10-24 18:33:00,,,,,,,,,,,,,,,,
26/10/2019,02/11/2019,"['time', 'good', 'watch', 'love', 'fire']",6,"""What were you thinking when you read the first sentence of The Water Dancer? Find out what Ta-Nehisi was thinking by watching our first episode on @appletv+. Happy streaming! #ReadWithUs https://t.co/WF88Yr7XRW""",2019-11-02 19:25:00,"""For Ta-Nehisi Coates’ terrific answer, watch my @oprahsbookclub interview on @appletv. It’s up and streaming now! #ReadWithUs https://t.co/9QmXKam7fY""",2019-11-01 17:39:00,"""It’s happening! My first @oprahsbookclub discussion with Ta-Nehisi Coates is now live on @appletv. I was so excited to be with MY PEOPLE from all walks of life discussing one thing: our love for this glorious book. 📚 https://t.co/YvkZkVDjUQ""",2019-11-01 13:40:00,"""Moments before I stepped on stage to have my first @oprahsbookclub discussion for The Water Dancer with 234 book club members! I always wanted to share the excitement a good book can bring you. &amp; we’re finally doing it. Stream it tomorrow 11/1 on @AppleTVPlus #ReadWithUs https://t.co/PTAvZJcfdH""",2019-10-31 16:55:00,"""Feeling for all the fire evacuees and responders. Having been thru it a few times, it’s so unsettling even when you get to safety. Praying for PEACE BE STILL with those Santa Ana winds🙏🏾.""",2019-10-30 22:04:00,"""@DevlinHuxtable @GreenleafOWN I heard she found a lover who loves Jazz and she’s opened a new club in Switzerland. She’s pulled a Tina.😉""",2019-10-30 21:58:00,,,,,,,,,,
